ProductID,CustomerID,ShipDate,Quantity,UnitPrice,TotalPrice,State,Region,Category,Product
4,13,2024-04-03,12,1621.89,19462.68,MS,Centro-Oeste,Eletroeletrônicos,Cafeteira Elétrica
15,13,2023-11-03,3,4084.61,12253.83,DF,Centro-Oeste,Casa e Jardim,Aspirador de Pó
28,27,2023-12-03,5,2541.08,12705.4,MS,Centro-Oeste,Informática,Teclado Mecânico
14,4,2024-07-19,20,368.17,7363.4,MS,Centro-Oeste,Eletroeletrônicos,TV 4K 55'
25,17,2024-07-20,12,527.37,6328.44,MG,Sudeste,Videogame,Controle DualSense
46,18,2024-08-04,1,3180.41,3180.41,MG,Sudeste,Informática,Teclado Mecânico
10,21,2023-10-04,4,3996.76,15987.04,ES,Sudeste,Casa e Jardim,Furadeira Elétrica
21,19,2024-03-30,4,1937.41,7749.64,PR,Sul,Informática,Monitor Full HD
38,15,2024-08-03,20,2011.95,40239.0,PI,Nordeste,Informática,SSD 1TB
11,27,2024-04-28,8,2969.78,23758.24,AM,Norte,Celulares,Google Pixel 8
21,2,2024-04-12,12,2292.28,27507.36,SE,Nordeste,Celulares,Xiaomi Mi 13
1,3,2023-11-14,14,4089.45,57252.3,CE,Nordeste,Eletroeletrônicos,Micro-ondas
21,18,2024-03-16,19,2541.02,48279.38,MG,Sudeste,Videogame,Jogo FIFA 2024
11,2,2024-03-02,5,2636.91,13184.55,PE,Nordeste,Celulares,Motorola Edge 40
41,11,2024-06-06,3,3244.69,9734.07,MS,Centro-Oeste,Informática,Mouse Gamer
13,28,2024-01-17,5,253.62,1268.1,DF,Centro-Oeste,Celulares,iPhone 14
27,17,2023-10-05,8,433.54,3468.32,RS,Sul,Eletroeletrônicos,Geladeira Frost Free
32,5,2024-08-06,2,2836.97,5673.94,RJ,Sudeste,Celulares,Motorola Edge 40
7,10,2023-11-04,17,2270.54,38599.18,MT,Centro-Oeste,Casa e Jardim,Cortador de Grama
25,19,2024-04-03,16,2543.28,40692.48,RJ,Sudeste,Casa e Jardim,Furadeira Elétrica
5,2,2023-12-16,15,2393.26,35898.9,MG,Sudeste,Informática,Mouse Gamer
8,21,2024-03-27,15,1012.21,15183.15,ES,Sudeste,Eletroeletrônicos,Cafeteira Elétrica
48,9,2024-08-05,19,4775.22,90729.18,MG,Sudeste,Informática,Monitor Full HD
10,27,2024-04-26,12,2702.61,32431.32,PE,Nordeste,Informática,Memória RAM 16GB
44,25,2024-08-27,19,1749.16,33234.04,SP,Sudeste,Eletroeletrônicos,TV 4K 55'
5,14,2024-06-06,2,425.06,850.12,TO,Norte,Videogame,Console PS5
6,3,2024-06-14,15,2943.74,44156.1,MT,Centro-Oeste,Informática,Memória RAM 16GB
15,27,2024-09-07,5,4775.13,23875.65,TO,Norte,Videogame,Controle DualSense
40,15,2024-05-15,2,128.28,256.56,DF,Centro-Oeste,Eletroeletrônicos,Micro-ondas
22,15,2024-02-25,18,2940.92,52936.56,AL,Nordeste,Celulares,Google Pixel 8
37,3,2023-11-07,14,490.76,6870.64,GO,Centro-Oeste,Casa e Jardim,Luminária de Mesa
23,15,2023-12-31,2,450.66,901.32,PB,Nordeste,Casa e Jardim,Cortador de Grama
46,29,2023-09-24,16,590.58,9449.28,RS,Sul,Informática,SSD 1TB
